NAME,DEVICE TYPE,TYPE,DATASET,DATASET STATE,NE107 STATUS,WARNINGS,ERRORS,DESCRIPTION,PACKAGE DEVICE TYPE (ID),PACKAGE MANUFACTURER (ID),PACKAGE PROTOCOL,PACKAGE CLASSIFICATION,PACKAGE TYPE,PACKAGE REVISION,SUPPORTED DEVICE REVISIONS,TOPOLOGY ADDRESS,DEVICE IDENTITY,CUSTOM DEVICE FIELDS,USER MESSAGE
03023835,DVC6200 (0x0009),DEVICE,ONLINE,NOT IN SYNC,Maintenance required,No offline dataset exists,,,DVC6200 (0x0009),Fisher Controls ,HART 5,Actuator,Specific EDD,1.7.0,1.*.*,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10155/CexBus/1/./4 PCMP738223/Modulebus/9/2/0,1309261C5F,,
"1 PCCP738204, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10151/CexBus/1,,,
"1 PCCP738204, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1,,,
"1 PCCP738205, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10154/CexBus/1,,,
"1 PCCP738205, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10155/CexBus/1,,,
"1 PCCP738251, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10182/CexBus/1,,,
"1 PCCP738251_1, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10181/CexBus/1,,,
"1 PCCP738252, CI854",,GATEWAY,ONLINE,,,,,,CI854/A/B (0x0136),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10184/CexBus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10151/CexBus/1/./2 PCMP738215/Modulebus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10151/CexBus/1/./4 PCMP738216/Modulebus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10151/CexBus/1/./5 PCMP738216/Modulebus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10151/CexBus/1/./3 PCMP738215/Modulebus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10151/CexBus/1/./6 PCMP738217/Modulebus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./3 PCMP738218/Modulebus/1,,,
"1, AI815",,GATEWAY,ONLINE,,,,,,AI815 (0x090F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10152/CexBus/1/./2 PCMP738217/Modulebus/1,,,
"10, AO815",,GATEWAY,ONLINE,,,,,,AO815 (0x0A0F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10181/CexBus/1/./6 PCMP738267/Modulebus/10,,,
"10, AO815",,GATEWAY,ONLINE,,,,,,AO815 (0x0A0F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10182/CexBus/1/./2 PCMP738267/Modulebus/10,,,
"10, AO815",,GATEWAY,ONLINE,,,,,,AO815 (0x0A0F),ABB,GENERIC,Network Component,Specific Device Package,2.7.12562,Not Available,ABB FIM Bridge 800xA/System/HEM_PCS.CNTRL10182/CexBus/1/./4 PCMP738268/Modulebus/10,,,
